"","XenaHosts","XenaHostNames","XenaCohorts","XenaDatasets","SampleCount","DataSubtype","Label","Type","AnatomicalOrigin","SampleType","Tags","ProbeMap","LongTitle","Citation","Version","Unit","Platform"
"32","https://ucscpublic.xenahubs.net","publicHub","Connectivity Map","cmap/cmap_clinicalMatrix",6100,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2013-11-02",NA,NA
"33","https://ucscpublic.xenahubs.net","publicHub","Connectivity Map","cmap/rankMatrix_reverse",6100,"gene expression","Connectivity Map gene expression","genomicMatrix","breast,prostate,skin,blood","cell line","cancer,drug perturbation,cell lines","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","Connectivity Map (CMAP O2) gene expression","Science 313 1929-1935 (2006)","2013-11-02",NA,NA
"34","https://ucscpublic.xenahubs.net","publicHub","NCI-60","NCI60/DNA_Combined_aCGH_gene_summary.txt",60,"Copy number","DNA: Combined aCGH gene summary","genomicMatrix","","","",NA,NA,"PLoS One. 2014 Mar 26;9(3):e92047","2018-09-06","log2(tumor/normal)",NA
"35","https://ucscpublic.xenahubs.net","publicHub","NCI-60","NCI60/DNA_Combined_aCGH_log2",123,"Copy number","DNA: Combined aCGH","genomicMatrix","","","","NCI60/probeDNA_Combined_aCGH_log2",NA,"PLoS One. 2014 Mar 26;9(3):e92047","2018-09-06","log2(tumor/normal)",NA
"36","https://ucscpublic.xenahubs.net","publicHub","NCI-60","NCI60/DTP_NCI60_ZSCORE.txt",62,"Compound activity","compound activity for FDA approved or clinical trial drugs","genomicMatrix","","","",NA,NA,NA,"2018-09-06","z score",NA
"37","https://ucscpublic.xenahubs.net","publicHub","NCI-60","NCI60/RNA_Affy_HG_U133_Plus_2.0_RMA.txt",60,"gene expression","RNA: Affy HG-U133 Plus 2.0 RMA value","genomicMatrix","","","","probeMap/affyU133_hg19",NA,"Cancer Res. 2010 Mar 15;70(6):2191-203.","2018-09-06","RMA",NA
"38","https://ucscpublic.xenahubs.net","publicHub","Lung Cancer (Raponi 2006)","raponi2006_public/raponi2006_genomicMatrix",130,"gene expression","Raponi gene expression","genomicMatrix","Lung","tumor","cancer","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","Gene expression (Raponi et al. 2006)","Cancer Res. 2006 Aug 1;66(15):7466-72.","2011-11-01",NA,NA
"39","https://ucscpublic.xenahubs.net","publicHub","Lung Cancer (Raponi 2006)","raponi2006_public/raponi2006_public_clinicalMatrix",130,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"40","https://ucscpublic.xenahubs.net","publicHub","Ovarian Cancer (Etemadmoghadam 2009)","etemadmoghadam2009_public/etemadmoghadam2009_CGH_genomicMatrix",118,"copy number","Etemadmoghadam CGH","genomicMatrix","Ovarian","tumor","cancer","probeMap/probesAffy100K","CGH (Etemadmoghadam et al. 2009)","Clin Cancer Res 2009 Feb 15;15(4):1417-27","2011-11-01",NA,NA
"41","https://ucscpublic.xenahubs.net","publicHub","Ovarian Cancer (Etemadmoghadam 2009)","etemadmoghadam2009_public/etemadmoghadam2009_exp_genomicMatrix",285,"gene expression","Etemadmoghadam Gene Exp","genomicMatrix","Ovarian","tumor","cancer","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","Gene Expression (Etemadmoghadam et al. 2009)","Clin Cancer Res 2009 Feb 15;15(4):1417-27","2011-11-01",NA,NA
"42","https://ucscpublic.xenahubs.net","publicHub","Ovarian Cancer (Etemadmoghadam 2009)","etemadmoghadam2009_public/etemadmoghadam2009_public_clinicalMatrix",336,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"43","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (CCLE)","ccle/CCLE_copynumber_2013-12-03.seg.txt",1043,"copy number","Segmented copy-number profiles Affymetrix SNP6.0 arrays","genomicSegment","","","",NA,NA,NA,"2018-05-30","log(copy number/2)",NA
"44","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (CCLE)","ccle/CCLE_copynumber_byGene_2013-12-03",1043,"copy number","Copy-number values per gene","genomicMatrix","","","",NA,NA,NA,"2018-05-30","log(copy number/2)",NA
"45","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (CCLE)","ccle/CCLE_DepMap_18Q2_maf_20180502",1549,"somatic mutation (SNPs and small INDELs)","Merged mutation calls (coding region, germline filtered)","mutationVector","","","",NA,NA,NA,"2018-05-30",NA,NA
"46","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (CCLE)","ccle/CCLE_DepMap_18Q2_RNAseq_reads_20180502.log2",1076,"gene expression","RNAseq gene expression (read count)","genomicMatrix","","","","probeMap/gencode.v19.annotation.gene.probemap",NA,NA,"2018-05-30","log2(count+1)",NA
"47","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (CCLE)","ccle/CCLE_DepMap_18Q2_RNAseq_RPKM_20180502",1076,"gene expression","RNAseq gene expression (RPKM)","genomicMatrix","","","","probeMap/gencode.v19.annotation.gene.probemap",NA,NA,"2018-05-30","RPKM",NA
"48","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (CCLE)","ccle/CCLE_NP24.2009_Drug_data_2015.02.24",504,"phenotype","Pharmacologic profiles for 24 anticancer drugs across 504 CCLE lines","clinicalMatrix","","","",NA,NA,NA,"2018-05-30",NA,NA
"49","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (CCLE)","ccle/CCLE_RPPA_20180123",899,"protein expression","Reverse Phase Protein Array (RPPA)","genomicMatrix","","","",NA,NA,NA,"2018-05-30",NA,NA
"50","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (CCLE)","ccle/CCLE_sample_info_file_2012-10-18.txt",1046,"phenotype","cell line annotations","clinicalMatrix","","","",NA,NA,NA,"2018-05-30",NA,NA
"51","https://ucscpublic.xenahubs.net","publicHub","Cancer Cell Line Encyclopedia (CCLE)","ccle/sample_info_primary_site",1629,"phenotype","cell line primary site","clinicalMatrix","","","",NA,NA,NA,"2018-06-12",NA,NA
"52","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (Hess 2006)","Hess2006/lajosJCO2006_genomicMatrix",133,"gene expression","Hess Chemo Gene Exp","genomicMatrix","Breast","tumor","cancer","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","Preoperative Chemotherapy Therapy Gene Expression (Hess K. et al. JCO 2006)","J Clin Oncol. 2006 Sep 10;24(26):4236-44. Epub 2006 Aug 8.","2011-11-01",NA,NA
"53","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (Hess 2006)","Hess2006/lajosJCO2006_public_clinicalMatrix",133,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"54","https://ucscpublic.xenahubs.net","publicHub","Pediatric diffuse intrinsic pontine gliomas (Puget 2012)","DIPG_Puget/cgh",53,"copy number","Treehouse - DIPG copy number (Puget, Philippe)","genomicMatrix","Brainstem","tumor","Childhood,pediatrics,neural,central nervous system,cancer","probeMap/hugo_gencode_good_hg19_V24lift37_probemap","Pediatric diffuse intrinsic pontine gliomas copy number (Puget 2012)","PLoS One. 2012; 7(2): e30313.","2013-08-08",NA,NA
"55","https://ucscpublic.xenahubs.net","publicHub","Pediatric diffuse intrinsic pontine gliomas (Puget 2012)","DIPG_Puget/DIPG_clinicalMatrix",91,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2013-08-08",NA,NA
"56","https://ucscpublic.xenahubs.net","publicHub","Pediatric diffuse intrinsic pontine gliomas (Puget 2012)","DIPG_Puget/expression",53,"gene expression","Treehouse - DIPG expression (Puget, Philippe)","genomicMatrix","Brainstem","tumor","cancer","probeMap/hugo_gencode_good_hg19_V24lift37_probemap","Pediatric diffuse intrinsic pontine gliomas gene expression (Puget 2012)","PLoS One. 2012; 7(2): e30313.","2013-08-08",NA,NA
"57","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (Yau 2010)","YauClinical_public/YauClinical_public_clinicalMatrix",683,"phenotype","Phenotypes","clinicalMatrix","","tumor","cancer",NA,NA,NA,"2011-11-11",NA,NA
"58","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (Yau 2010)","YauClinical_public/YauGeneExp_genomicMatrix",683,"gene expression","Gene expression","genomicMatrix","Breast","tumor","cancer","probeMap/hugo_gencode_good_hg19_V24lift37_probemap","Normalized pooled gene expression data from multiple studies","Breast Cancer Res. 2010 Oct 14;12(5):R85.","2011-11-01",NA,NA
"59","https://ucscpublic.xenahubs.net","publicHub","St Jude PCGP pan-cancer","StJudePCGP/pan-pcgp_cnv",445,"copy number","Copy number variation","genomicMatrix","","","","StJudePCGP/pan-pcgp_cnv_probemap","Copy number variations in the PCGP project public data",NA,"2015-09-29",NA,NA
"60","https://ucscpublic.xenahubs.net","publicHub","St Jude PCGP pan-cancer","StJudePCGP/pan-pcgp_cnv_gene",445,"copy number","Copy number variation (gene-level)","genomicMatrix","","","",NA,"Copy number variations (gene-level) in the PCGP project public data",NA,"2015-09-29",NA,NA
"61","https://ucscpublic.xenahubs.net","publicHub","St Jude PCGP pan-cancer","StJudePCGP/pan-pcgp_phenotype",535,"phenotype","Disease and data source","clinicalMatrix","","","",NA,"Disease and data source in the PCGP project public data",NA,"2015-09-29",NA,NA
"62","https://ucscpublic.xenahubs.net","publicHub","St Jude PCGP pan-cancer","StJudePCGP/pan-pcgp_snv-indel_tier1.txt",352,"somatic mutation (SNP and small INDELs)","Tier1 mutations","mutationVector","","","",NA,"Tier1 mutations in the PCGP project public data",NA,"2015-09-29",NA,NA
"63","https://ucscpublic.xenahubs.net","publicHub","Head and Neck Cancer (Puram 2017)","HNSCC/cnv.txt",5902,"copy number","estimated large-scale CNV from RNAseq data","genomicMatrix","","","",NA,NA,NA,"2019-05-07","z-score",NA
"64","https://ucscpublic.xenahubs.net","publicHub","Head and Neck Cancer (Puram 2017)","HNSCC/GSE103322_cell_metadata.txt",5902,"phenotype","cell metadata","clinicalMatrix","","","",NA,NA,NA,"2019-05-7",NA,NA
"65","https://ucscpublic.xenahubs.net","publicHub","Head and Neck Cancer (Puram 2017)","HNSCC/GSE103322_HNSCC_exp.txt",5902,"single cell RNAseq gene expression","RSEM TPM","genomicMatrix","","","",NA,NA,NA,"2019-05-07","TPM","SmartSeq2"
"66","https://ucscpublic.xenahubs.net","publicHub","Head and Neck Cancer (Puram 2017)","HNSCC/GSE103322_sample_metadata.txt",5902,"phenotype","sample metadata","clinicalMatrix","","","",NA,NA,NA,"2019-05-07",NA,NA
"67","https://ucscpublic.xenahubs.net","publicHub","Head and Neck Cancer (Puram 2017)","HNSCC/signatureScore.tcgaHNSC.txt",5902,"genomic signature","TCGA expression subtype signature scores","genomicMatrix","","","",NA,NA,NA,"2019-05-13","z-score",NA
"68","https://ucscpublic.xenahubs.net","publicHub","Head and Neck Cancer (Puram 2017)","HNSCC/signatureScore.txt",5902,"genomic signature","tumor: transcription module scores","genomicMatrix","","","",NA,NA,NA,"2019-05-07","z-score",NA
"69","https://ucscpublic.xenahubs.net","publicHub","Head and Neck Cancer (Puram 2017)","HNSCC/tcgaClassification",5902,"phenotype","TCGA molecular subtype signature mapped to single cells","clinicalMatrix","","","",NA,NA,NA,"2019-05-13",NA,NA
"70","https://ucscpublic.xenahubs.net","publicHub","Head and Neck Cancer (Puram 2017)","HNSCC/z.txt",5902,"single cell RNAseq gene expression","Z-Score of relative gene expression","genomicMatrix","","","",NA,NA,NA,"2019-05-07","z-score","SmartSeq2"
"71","https://ucscpublic.xenahubs.net","publicHub","Head and Neck Cancer (Puram 2017)","HNSCC/cell_category.tsv",5902,"phenotype","cell category by cell type and if they are tumor cells, by patient id","clinicalMatrix","","","",NA,NA,NA,"2019-05-16",NA,NA
"72","https://ucscpublic.xenahubs.net","publicHub","TARGET Acute Lymphoblastic Leukemia","TARGET_ALL/TARGETcnv_genomicMatrix",204,"copy number","TARGET acute lymphoblastic leukemia copy number","genomicMatrix","Blood","tumor","white blood cell,pediatrics,cancer","TARGET_ALL/probesTARGETcnv","TARGET acute lymphoblastic leukemia copy number variation","Proc Natl Acad Sci U S A. 2009 Jun 9;106(23):9414-8. Epub 2009 May 22.","2011-11-01",NA,NA
"73","https://ucscpublic.xenahubs.net","publicHub","TARGET Acute Lymphoblastic Leukemia","TARGET_ALL/TARGETexp_genomicMatrix",207,"gene expression","TARGET acute lymphoblastic leukemia expression","genomicMatrix","Blood","tumor","cancer","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","TARGET Acute Lymphoblastic Leukemia gene expression","Proc Natl Acad Sci U S A. 2009 Jun 9;106(23):9414-8. Epub 2009 May 22.","2011-11-01",NA,NA
"74","https://ucscpublic.xenahubs.net","publicHub","TARGET Acute Lymphoblastic Leukemia","TARGET_ALL/TARGET_public_clinicalMatrix",228,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"75","https://ucscpublic.xenahubs.net","publicHub","Node-negative breast cancer (Desmedt 2007)","desmedt2007_public/desmedt2007_genomicMatrix",198,"gene expression","Desmedt 76 Gene Node-Neg Gene Exp","genomicMatrix","Breast","tumor","cancer","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","76-gene Prognostic Signature Lymph-Node-Negative Gene Expression (Desmedt et al. CCR 2007)","Clin Cancer Res. 2007 Jun 1;13(11):3207-14.","2011-11-01",NA,NA
"76","https://ucscpublic.xenahubs.net","publicHub","Node-negative breast cancer (Desmedt 2007)","desmedt2007_public/desmedt2007_public_clinicalMatrix",198,"phenotype","Phenotypes","clinicalMatrix","","","",NA,NA,NA,"2011-11-11",NA,NA
"77","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (Caldas 2007)","Caldas2007/chinSF2007_public_clinicalMatrix",242,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"78","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (Caldas 2007)","Caldas2007/chinSFGenomeBio2007_genomicMatrix",220,"copy number","Caldas, Chin CGH","genomicMatrix","Breast","tumor","","Caldas2007/chinSFGenomeBio2007Probe","CGH (Chin, Caldas et al. Genome Bio 2007)","Genome Biol. 2007;8(10):R215","2011-11-01",NA,NA
"79","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (Caldas 2007)","Caldas2007/naderi2007Exp_genomicMatrix",135,"gene expression","Caldas, Naderi Gene Exp","genomicMatrix","Breast","tumor","cancer","probeMap/probesAgilent1AWholeGenome_hg18","Gene Expression (Naderi, Caldas et al. Oncogene 2007)","Oncogene. 2007 Mar 1;26(10):1507-16. Epub 2006 Aug 28.","2011-11-01",NA,NA
"80","https://ucscpublic.xenahubs.net","publicHub","Pediatric tumor (Khan)","Khan_pediatric/expression",196,"gene expression","Treehouse - Pediatric tumor expression (Khan)","genomicMatrix","Brian,Blood,liver,bone,soft tissue","tumor","cancer","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","Pediatric Tumor Affymetrix Gene Expression",NA,"2013-09-27",NA,NA
"81","https://ucscpublic.xenahubs.net","publicHub","Pediatric tumor (Khan)","Khan_pediatric/Pediatric_affy_clinicalMatrix",196,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2013-09-27",NA,NA
"82","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (Miller 2005)","miller2005_public/miller2005_genomicMatrix",251,"gene expression","Miller TP53 Gene Exp","genomicMatrix","Breast","tumor","cancer","probeMap/affyU133_ucscGenomeBrowser_hg18.probeMap","TP53 Gene Expression (Miller et al. 2005)","Proc Natl Acad Sci U S A 2005 Sep 20;102(38):13550-5","2011-11-01",NA,NA
"83","https://ucscpublic.xenahubs.net","publicHub","Breast Cancer (Miller 2005)","miller2005_public/miller2005_public_clinicalMatrix",251,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"84","https://ucscpublic.xenahubs.net","publicHub","Pancreatic Cancer (Harada 2008)","harada2008_public/harada2008_genomicMatrix",28,"copy number","Harada CGH","genomicMatrix","Pancreas","tumor","cancer","probeMap/probesAffy100K","Pancreatic Cancer CGH (Harada et al. 2008)","Oncogene. 2008 Mar 20;27(13):1951-60. Epub 2007 Oct 22.","2011-11-01",NA,NA
"85","https://ucscpublic.xenahubs.net","publicHub","Pancreatic Cancer (Harada 2008)","harada2008_public/harada2008_public_clinicalMatrix",28,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"86","https://ucscpublic.xenahubs.net","publicHub","GBM (Parsons 2008)","parsons2008cgh_public/parsons2008cgh_genomicMatrix",23,"copy number","Parsons GBM CGH ","genomicMatrix","Brain","tumor","cancer,neural","probeMap/Illumina1M.hg18.probeMap","GBM CGH (Parsons et al. 2008)","Science. 2008 Sep 26;321(5897):1807-12. Epub 2008 Sep 4.","2011-11-01",NA,NA
"87","https://ucscpublic.xenahubs.net","publicHub","GBM (Parsons 2008)","parsons2008cgh_public/parsons2008cgh_public_clinicalMatrix",23,"phenotype","Phenotypes","clinicalMatrix","","","cancer",NA,NA,NA,"2011-11-11",NA,NA
"88","https://ucscpublic.xenahubs.net","publicHub","MAGIC","MAGIC/all_samp.cnvProcess",1087,"copy number","MAGIC gistic2 CNV (thresholded)","genomicMatrix","","","","probeMap/hugo_gencode_good_hg19_V24lift37_probemap",NA,"Nature. 2012 Aug 2;488(7409):49-56. doi: 10.1038/nature11327","2015-03-19","-2,-1,0,1,2",NA
"89","https://ucscpublic.xenahubs.net","publicHub","MAGIC","MAGIC/magicCNV_genomicSegment",1070,"copy number","MAGIC segmented CNV","genomicSegment","","","",NA,NA,"Nature. 2012 Aug 2;488(7409):49-56. doi: 10.1038/nature11327","2015-03-18",NA,NA
"90","https://ucscpublic.xenahubs.net","publicHub","MAGIC","MAGIC/magicExpression",285,"gene expression Array","MAGIC gene expression","genomicMatrix","","","","probeMap/GPL6244.hg19.probeMap",NA,"Nature. 2012 Aug 2;488(7409):49-56. doi: 10.1038/nature11327","2015-03-19",NA,NA
